WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q24,Q25,Q26,Q27,Q28,Q29_1,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q31_NPS_GROUP,Q31,Q33_1,Q33_2,Q33_3,Q33_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q17,Q9 - Parent Topics
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2017_6""}","{""ImportId"":""QID2017_7""}","{""ImportId"":""QID2017_8""}","{""ImportId"":""QID2019_NPS_GROUP""}","{""ImportId"":""QID2019""}","{""ImportId"":""QID2021_1""}","{""ImportId"":""QID2021_2""}","{""ImportId"":""QID2021_3""}","{""ImportId"":""QID2021_4""}",,,,,,,"{""ImportId"":""QID2005""}","{""ImportId"":""QID8_TEXT_98d09e12885144e18ddbbbc2ParTopics""}"
5,10/11/2020 16:03,10/11/2020 16:17,0,129.244.140.31,100,836,1,10/11/2020 16:17,R_2dXd3HjNDAP7F70,,,,,36.1493072509765625,-95.94989777,anonymous,EN,3,2,1,3,1,Computer Science,7,6,1,5,2,5,3,10,,,,,1,1,0.82,0.71,0.73,0.74,2,
5,10/11/2020 16:02,10/11/2020 16:17,0,172.58.145.27,100,899,1,10/11/2020 16:17,R_O7kDFfJ9TUOgUQp,,,,,38.14050293,-85.69360352,qr,EN,1,4,1,1,3,Computer Science,3,2,1,4,0,2,3,10,,,,,0.95,0.96,0.95,0.85,0.85,0.95,2,
5,10/11/2020 16:05,10/11/2020 16:18,0,66.169.199.173,100,826,1,10/11/2020 16:18,R_2CZAAsYLpBx3WhW,,,,,32.82659912109375,-96.7888031,anonymous,EN,1,2,1,2,3,Computer Science,5,3,2,4,0,2,3,10,,,,,0.45,0.8,0.81,0.6,0.9,0.9,2,
5,10/11/2020 16:15,10/11/2020 16:29,0,134.129.227.202,100,885,1,10/11/2020 16:29,R_bq2QKoseBTWHnTr,,,,,46.918792724609375,-96.82659912,qr,EN,1,2,1,2,3,Computer Science,3,2,0,5,0,1,3,10,,,,,0.3,0.3,0.6,0.7,0.55,0.7,2,
5,10/18/2020 6:16,10/18/2020 6:25,0,91.186.230.147,100,548,1,10/18/2020 6:25,R_3fxD8oQUmSdqufj,,,,,31.9521942138671875,35.938995361328125,qr,EN,1,2,1,3,1,Networks and Information Security Engineering,2,3,1,2,3,7,3,10,,,,,,,0,0,,,2,
5,10/18/2020 6:20,10/18/2020 6:28,0,92.97.139.214,100,489,1,10/18/2020 6:28,R_r1laroJEyNOO0al,,,,,25.26330566,55.3087005615234375,qr,EN,1,2,1,4,3,Computing security,1,3,1,3,3,2,3,9,,,,,0.69,0.5,0.7,0.7,0.4,0.5,2,
5,10/18/2020 6:18,10/18/2020 6:31,0,46.32.123.192,100,799,1,10/18/2020 6:31,R_1HqVLz1sCBxOrVp,,,,,31.9521942138671875,35.938995361328125,qr,EN,1,2,1,4,1,Networks and Information security engineering ,7,6,2,1,2,7,3,9,,,,,0.85,0.6,1,0.9,0.8,0.9,2,
5,10/18/2020 6:16,10/18/2020 6:33,0,188.247.73.5,100,1030,1,10/18/2020 6:33,R_6XViOcHKsyP5buV,,,,,31.9521942138671875,35.938995361328125,qr,EN,1,1,1,3,3,Networks and Information Security Engineering,4,3,2,6,7,7,3,9,,,,,0.79,0.79,0.79,0.82,1,1,2,
5,10/18/2020 6:18,10/18/2020 6:34,0,92.96.243.99,100,972,1,10/18/2020 6:34,R_1C1LqPWzy1xtNlj,,,,,25.356903076171875,55.404998779296875,anonymous,EN,1,1,1,4,3,Computing Security,1,5,2,5,4,3,3,9,,,,,0.65,0.9,0.8,0.6,0.9,0.75,2,
5,10/11/2020 15:10,10/11/2020 15:11,0,71.150.115.50,4,7,0,10/18/2020 15:11,R_2CkXIBtoAwnL8oC,,,,,,,qr,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,
